Title,Price,URL
"1/4 in. x 3.5 in. x 8 ft. Cedar Board V-Plank (6 per package)","$26.98/package","https://www.homedepot.com/p/1-4-in-x-3-5-in-x-8-ft-Cedar-Board-V-Plank-6-per-package-8203015/202106509"
"3-3/4 in. x Random Length Aromatic Red Cedar Shiplap Planking (15 sq. ft/pkg)","$37.98/box","https://www.homedepot.com/p/American-Pacific-3-3-4-in-x-Random-Length-Aromatic-Red-Cedar-Shiplap-Planking-15-sq-ft-pkg-HD60-15S/319614105"
"3/4 in. x 4 in. x 8 ft. Cedar Board","$11.98","https://www.homedepot.com/p/3-4-in-x-4-in-x-8-ft-Cedar-Board-0514348/202302514"
"3/4 in. x 5.5 in. x 8 ft. Select Tight Knot S1S2E Cedar Board","$18.27/piece","https://www.homedepot.com/p/3-4-in-x-5-5-in-x-8-ft-Select-Tight-Knot-S1S2E-Cedar-Board-0514368/202089034"
"3/4 in. x 8 in. x 8 ft. Cedar Board","$24.36","https://www.homedepot.com/p/3-4-in-x-8-in-x-8-ft-Cedar-Board-0514388/203005148"
"OSB 7/16 Application as 4ft. X 8 ft. Sheathing Panel","Limit90perorder$15.48Buy68ormore$13.93","https://www.homedepot.com/p/OSB-7-16-Application-as-4ft-X-8-ft-Sheathing-Panel-386081/202106230"
"23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp","Limit90perorder$36.38Buy48ormore$32.74","https://www.homedepot.com/p/23-32-in-x-4-ft-x-8-ft-RTD-Sheathing-Syp-129323/303564747"
"19/32 in. x 4 ft. x 8 ft. Actual 0.578 in. x 47.75 in. x 94.75 in. Oriented Strand Board Forcefield","$23.57","https://www.homedepot.com/p/ForceField-19-32-in-x-4-ft-x-8-ft-Actual-0-578-in-x-47-75-in-x-94-75-in-Oriented-Strand-Board-Forcefield-1366585/318366453"
"15/32 in. x 4 ft. x 8 ft. 3-Ply RTD Sheathing","Limit90perorder$25.00Buy72ormore$22.50","https://www.homedepot.com/p/Plytanium-15-32-in-x-4-ft-x-8-ft-3-Ply-RTD-Sheathing-132411/100067329"
"23/32 in. T&G OSB Subfloor (Common: 23/32 in. x 4 ft. x 8 ft.; Actual: 0.703 in. x 47.875 in. x 95.875 in.)","Limit90perorder$21.48Buy42ormore$19.33","https://www.homedepot.com/p/23-32-in-T-G-OSB-Subfloor-Common-23-32-in-x-4-ft-x-8-ft-Actual-0-703-in-x-47-875-in-x-95-875-in-920924/100054132"
"23/32 in. x 4 ft. x 8 ft Cabinet Grade Plywood Panel (Actual: 0.688 in. x 48 in. x 96 in.)","Limit90perorder$49.88","https://www.homedepot.com/p/23-32-in-x-4-ft-x-8-ft-Cabinet-Grade-Plywood-Panel-Actual-0-688-in-x-48-in-x-96-in-1077486/302610611"
"48 in. x 96 in. x 0.118 (1/8) in. Clear Acrylic Sheet","$156.00","https://www.homedepot.com/p/OPTIX-48-in-x-96-in-x-0-118-1-8-in-Clear-Acrylic-Sheet-MC-100S/205351353"
"8 in. x 10 in. x 0.050 (1/20) in. Clear Non-Glare Acrylic Sheet","$4.48","https://www.homedepot.com/p/OPTIX-8-in-x-10-in-x-0-050-1-20-in-Clear-Non-Glare-Acrylic-Sheet-1X09241A/300085223"
"18 in. x 24 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$18.48","https://www.homedepot.com/p/OPTIX-18-in-x-24-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-05/202038047"
"24 in. x 48 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$45.98","https://www.homedepot.com/p/OPTIX-24-in-x-48-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-13/202038048"
"30 in. x 36 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$41.48","https://www.homedepot.com/p/OPTIX-30-in-x-36-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-06/202038044"
"OPTIX 0.08-in T x 28.0-in W x 30.0-in L Clear Acrylic Sheet","24.78","https://www.lowes.com/pd/OPTIX-0-08-in-T-x-28-in-W-x-30-in-L-Clear-Acrylic-Sheet/3978817"
"DURAPLEX 0.08-in T x 18.0-in W x 24.0-in L Clear Acrylic Sheet","19.38","https://www.lowes.com/pd/DURAPLEX-0-08-in-T-x-18-in-W-x-24-in-L-Clear-Acrylic-Sheet/3143519"
"OPTIX 0.22-in T x 18-in W x 24-in L Clear Acrylic Sheet","36.68","https://www.lowes.com/pd/OPTIX-0-22-in-T-x-18-in-W-x-24-in-L-Clear-Acrylic-Sheet/3502292"
"3/4 in. x 10 ft. PVC Schedule 40 Pressure Plain-End Pipe","$4.24(42¢/ft.)Buy10ormore$3.39","https://www.homedepot.com/p/Charlotte-Pipe-3-4-in-x-10-ft-PVC-Schedule-40-Pressure-Plain-End-Pipe-PVC-04007-0600/100348472"
"1 in. x 10 ft. Plastic Plain End Pipe","$3.88(39¢/ft.)Buy10ormore$3.10","https://www.homedepot.com/p/Charlotte-Pipe-1-in-x-10-ft-Plastic-Plain-End-Pipe-PVC200100600/100348483"
"2 in. x 10 ft. White Schedule 40 PVC Pipe Solid Core","$13.68($1.37/ft.)Buy10ormore$10.94","https://www.homedepot.com/p/Charlotte-Pipe-2-in-x-10-ft-White-Schedule-40-PVC-Pipe-Solid-Core-PVC-07200-0600/100348475"
"2 in. PVC Schedule 40 S x S Coupling","$1.85","https://www.homedepot.com/p/Charlotte-Pipe-2-in-PVC-Schedule-40-S-x-S-Coupling-PVC021001600HD/203811391"
"3 in. x 10 ft. PVC Schedule 40 DWV Pipe","$37.96($3.80/ft.)","https://www.homedepot.com/p/Charlotte-Pipe-3-in-x-10-ft-PVC-Schedule-40-DWV-Pipe-PVC073000600/100348476"
